"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","CRUD notebook feature [ERROR cases]","Create notebook and update it with invalid data","0","0","1","0","0"
"","CRUD notebook feature [ERROR cases]","Get notebook with invalid id","0","0","1","0","0"
"","CRUD notebook feature [ERROR cases]","Get notebooks with invalid query params","0","0","1","0","0"
"","Notebook database feature","Create notebook, update it and check is updated inside the database also","0","0","1","0","0"
"","CRUD notebook feature","Create notebook and check is present inside the list","0","0","1","0","0"
"","CRUD notebook feature [ERROR cases]","Create notebooks with same name","0","0","1","0","0"
"","CRUD notebook feature [ERROR cases]","Get notebook with invalid data","0","0","1","0","0"
"","CRUD notebook feature","Update existing notebook with id 1","0","0","2","0","0"
"","CRUD notebook feature","Create notebook and update it","0","0","1","0","0"
"","CRUD notebook feature","Update existing notebook with id 2","0","0","2","0","0"
"","CRUD notebook feature","Create notebook and get it","0","0","1","0","0"
"","CRUD notebook feature","Create notebook and delete it","0","0","1","0","0"
"","CRUD notebook feature [ERROR cases]","Create notebook with invalid data","0","0","1","0","0"
"","Notebook database feature","Create notebook and check is present inside the database","0","0","1","0","0"
"","CRUD notebook feature [ERROR cases]","Delete notebook with invalid data","0","0","1","0","0"
"","Notebook database feature","Create notebook, delete it and check is removed from database also","0","0","1","0","0"
